"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","50035","Bondurant","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,4.66960039747321,100,,,208500,-0.477326968973747,1.60818713450292,0.0438177458033573,,0.0377358490566038,0.04,63
"Zip","50036","Boone","IA","Boone, IA","""Boone, IA""",,6.24529775001774,100,,2.5102,127400,1.35242641209228,6.4327485380117,,,0.144411102775694,0.0285714285714286,76
"Zip","50046","Cambridge","IA","Ames, IA","""Ames, IA""",,6.5746326921712,,,,177800,-0.336322869955157,0.338600451467269,0.0393475815523059,,0.0643776824034335,0,73
"Zip","50054","Colfax","IA","Newton, IA","""Newton, IA""",,0.502519696216907,100,,,123900,-0.800640512409928,-0.241545893719807,,,0.171539961013645,0.0227272727272727,70.5
"Zip","50056","Colo","IA","Ames, IA","""Ames, IA""",,6.84221733267088,,,,140300,-0.355113636363636,-6.27922511690047,0.0385317177476836,,0.0375586854460094,0,73
"Zip","50061","Cumming","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,7.45333238696856,100,,,319300,0.282663316582915,9.16239316239316,0.0358784841841528,,0.102493074792244,0,62
"Zip","50063","Dallas Center","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,7.97146710199446,0,,,191600,0.630252100840336,12.046783625731,0.0744050104384133,,0.0640176600441501,0.0344827586206897,76
"Zip","50070","Dexter","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,0.94612818510895,,,,127100,-0.313725490196078,-5.85185185185185,0.0290715971675846,,0.150943396226415,0,66
"Zip","50073","Elkhart","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.38015473064093,100,,,188700,0.212426978226235,9.64555490993608,0.0358929517753048,,0.055793991416309,0.0769230769230769,63
"Zip","50109","Granger","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,7.49378948115551,100,,,244000,0.123102174805088,2.43492863140218,0.0390819672131149,,0.0433275563258232,0,63
"Zip","50111","Grimes","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.20980907090638,100,,,215300,-0.416281221091582,0.279459711224965,0.0418764514630747,,0.0702836004932183,0.0116959064327485,77
"Zip","50124","Huxley","IA","Ames, IA","""Ames, IA""",,6.5355951451487,,,,179100,-0.222841225626741,-0.775623268698061,0.0404410943606923,,0.0680061823802164,0,73
"Zip","50125","Indianola","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,4.06274398466889,100,,,178000,1.42450142450142,1.88895248998283,0.0306067415730338,,0.108540417023708,0.0394736842105263,60
"Zip","50131","Johnston","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.66335438994961,100,,,249100,-0.598563447725459,-0.0401284109149278,0.0431352870333199,,0.0472584856396867,0.0220994475138122,75
"Zip","50135","Kellogg","IA","Newton, IA","""Newton, IA""",,0.1014976222585,,,,136900,-0.653120464441219,-5.19390581717451,,,0.0941176470588235,0.0416666666666667,70.5
"Zip","50138","Knoxville","IA",,,,1.97742920008517,,,,127800,0.235294117647059,8.48896434634974,,,0.128862590401052,0.0357142857142857,58
"Zip","50158","Marshalltown","IA","Marshalltown, IA","""Marshalltown, IA""",,0.398182979629498,,,,94500,0.531914893617021,-3.96341463414634,,,0.185635612666361,0.0284301606922126,56
"Zip","50161","Maxwell","IA","Ames, IA","""Ames, IA""",,7.9125558946696,,,,171000,0,3.3857315598549,0.0499415204678362,,0.0817843866171004,0,73
"Zip","50166","Milo","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,2.81070338561999,,,13.7795,151100,2.09459459459459,3.13993174061433,0.0158371939113171,,0.0936329588014981,0,62
"Zip","50169","Mitchellville","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.20838952374193,,,,171700,0.175029171528588,10.9173126614987,0.0522597553873034,,0.0651629072681704,0.0769230769230769,63
"Zip","50170","Monroe","IA","Newton, IA","""Newton, IA""",,0.88650720420186,,,,136000,0,2.7190332326284,,,0.186274509803922,0,70.5
"Zip","50201","Nevada","IA","Ames, IA","""Ames, IA""",,6.89332103059124,,,,149100,0.201612903225806,4.19287211740042,0.0351374916163649,,0.0707317073170732,0.0229885057471264,73
"Zip","50208","Newton","IA","Newton, IA","""Newton, IA""",,0.273262829157499,100,,,108500,-0.367309458218549,2.45514636449481,,,0.196618037135279,0.0556492411467116,64
"Zip","50210","New Virginia","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.31840442898715,,,,166100,2.40443896424168,4.72887767969735,0.0247381095725467,,0.0858208955223881,0,62
"Zip","50211","Norwalk","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,4.48505926609412,100,,,191200,1.64805954279638,5.2863436123348,0.00565899581589968,,0.123879380603097,0.00328947368421053,55
"Zip","50212","Ogden","IA","Boone, IA","""Boone, IA""",,2.38554900986585,,,,131500,0.381679389312977,4.53100158982512,,,0.151452282157676,0.0273972602739726,80
"Zip","50219","Pella","IA",,,,0.738874299098588,0,,,196500,0.306278713629403,-0.0508646998982706,,,0.0967372638809388,0.0118343195266272,58
"Zip","50220","Perry","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,7.13748314287742,100,,2.3342,104300,1.95503421309873,5.14112903225806,0.0255992329817833,,0.0907372400756144,0.03125,76
"Zip","50225","Pleasantville","IA",,,,5.30058911207325,,,,160600,1.06985525487728,16.9701383831027,,,0.148514851485149,0.0333333333333333,58
"Zip","50226","Polk City","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,5.10753069770743,100,,,248900,-0.479808076769292,0.201288244766506,0.0422860586580955,,0.0504959422903517,0.0178571428571429,63
"Zip","50228","Prairie City","IA","Newton, IA","""Newton, IA""",,6.13812193910143,100,,,151500,0.731382978723404,10.2620087336245,,,0.186301369863014,0.0147058823529412,70.5
"Zip","50233","Redfield","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,8.74370075945773,100,,,119500,0.251677852348993,8.34088848594742,0.0326108786610879,,0.0736842105263158,0,76
"Zip","50236","Roland","IA","Ames, IA","""Ames, IA""",,6.42132159841011,,,,150300,0.066577896138482,0.066577896138482,0.0370459081836327,,0.0822368421052631,0,73
"Zip","50237","Runnells","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.6683228050252,,,,230800,-0.259291270527226,9.38388625592417,0.0498353552859618,,0.0475352112676056,0.037037037037037,63
"Zip","50244","Slater","IA","Ames, IA","""Ames, IA""",,4.43466534175598,,,,169700,-0.117716303708064,3.41255332114564,0.0393105480259281,,0.0905923344947735,0.0384615384615385,73
"Zip","50248","Story City","IA","Ames, IA","""Ames, IA""",,8.70963162751082,,,,166500,0.0600961538461538,6.66239590006406,0.0353273273273274,,0.0620031796502385,0,73
"Zip","50261","Van Meter","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,9.29235573851941,,,,245100,0.0408163265306122,9.81182795698925,0.0561485108119135,,0.0651629072681704,0,76
"Zip","50263","Waukee","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,7.59386755624956,94.12,2.1652,,236400,0.382165605095541,5.58284948637785,0.0311675126903552,,0.110595303113053,0.00740740740740741,77
"Zip","50265","West Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,7.70530200865924,100,,,201800,-0.247157686604053,4.50543759709995,0.0468235877106045,,0.0568222946073109,0.0222929936305733,64
"Zip","50266","West Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,5.19767194265029,94.12,4.0922,,217000,0.184672206832872,4.02684563758389,0.0384654377880185,,0.107634044249552,0.0111111111111111,67
"Zip","50276","Woodward","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.83086095535524,100,,,146400,0.205338809034908,-0.67842605156038,0.0371926229508197,,0.0841121495327103,0,76
"Zip","50309","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,6.8166654837107,100,,,143700,-0.415800415800416,13.9571768437748,0.0617536534446763,,0.159090909090909,0,60
"Zip","50310","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,1.25416991979559,62.5,,,145200,0.137931034482759,0.554016620498615,0.0353925619834712,,0.0787836903939184,0.0328947368421053,55
"Zip","50311","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,4.60146213357939,100,,,146000,0.137174211248285,1.10803324099723,0.0355547945205479,,0.0787321063394683,0.012987012987013,55
"Zip","50312","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,4.40769394563134,100,,,177400,-0.112612612612613,1.83696900114811,0.0377677564825254,,0.0774675580023594,0.0304568527918782,62.5
"Zip","50313","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,3.73340904251544,100,,,104300,0.0959692898272553,5.67375886524823,0.0459635666347076,,0.102425876010782,0.0639097744360902,60
"Zip","50314","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,3.05770459223508,,,,89200,0.790960451977401,0.790960451977401,0.033340807174888,,0.110489510489511,0.0253164556962025,60
"Zip","50315","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,1.45787493789481,66.67,,,116100,0.345721694036301,3.38379341050757,0.0421619293712316,,0.101221640488656,0.0593869731800766,59
"Zip","50316","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,1.63318901270495,0,,,89700,0.786516853932584,5.40540540540541,0.0366443701226309,,0.137101287073307,0.0571428571428571,60
"Zip","50317","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,3.73269926893321,100,,,109000,0.368324125230203,2.53998118532455,0.0414770642201834,,0.104560028500178,0.0494037478705281,59.5
"Zip","50320","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,2.00298104904535,80,,,158500,0.379987333755541,0.955414012738854,0.0333627760252366,,0.0887430939226519,0.0505836575875486,71
"Zip","50321","Des Moines","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,5.88828163815743,,,,227400,-0.219394471259324,3.74087591240876,0.0450703605980651,,0.0577319587628866,0,60
"Zip","50322","Urbandale","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,5.13876073532543,100,,,182700,0.10958904109589,0.995024875621891,0.0354187192118227,,0.0560900048915702,0.0203488372093023,54.5
"Zip","50323","Urbandale","IA","Des Moines, IA","""Des Moines-West Des Moines, IA""",,5.62495563915111,90.91,9.6154,,337200,0.357142857142857,3.37216431637032,0.0335438908659549,,0.0615131578947368,0.0053475935828877,94
